game,round,phase,is_starter,is_playing,player,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus
PAR-PAM,11,REGULAR SEASON,False,True,Andjusic Danilo,06:16,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-7
PAR-ASV,22,REGULAR SEASON,False,True,Andjusic Danilo,12:13,4,1,2,0,2,2,2,0,1,1,1,0,1,0,0,0,1,3,-6
PAR-TEL,8,REGULAR SEASON,False,True,Andjusic Danilo,12:07,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,1,2,0,-4
ASV-PAR,13,REGULAR SEASON,True,True,Andjusic Danilo,09:56,6,3,6,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
RED-PAR,21,REGULAR SEASON,False,True,Andjusic Danilo,08:02,2,0,1,0,2,2,2,0,0,0,1,2,0,0,0,1,1,2,1
MCO-PAR,33,REGULAR SEASON,False,False,Andjusic Danilo,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAD-PAR,35,PLAYOFFS,False,False,Andjusic Danilo,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAM-PAR,20,REGULAR SEASON,False,True,Andjusic Danilo,16:35,6,2,2,0,2,2,2,1,0,1,0,1,1,0,0,3,4,6,2
TEL-PAR,18,REGULAR SEASON,False,True,Andjusic Danilo,09:55,0,0,2,0,3,0,0,0,0,0,2,1,3,0,1,4,0,-10,1
PAR-BAS,19,REGULAR SEASON,False,True,Andjusic Danilo,08:21,3,0,2,1,2,0,0,0,0,0,0,0,2,0,0,1,0,-3,5
MAD-PAR,10,REGULAR SEASON,True,True,Andjusic Danilo,30:01,13,1,3,3,4,2,2,0,0,0,4,0,3,0,0,3,1,9,3
ZAL-PAR,23,REGULAR SEASON,False,False,Andjusic Danilo,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAR-PAR,9,REGULAR SEASON,False,True,Andjusic Danilo,17:40,23,3,3,3,5,8,9,1,1,2,2,0,3,1,0,0,6,28,0
PAR-OLY,30,REGULAR SEASON,False,False,Andjusic Danilo,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ULK-PAR,15,REGULAR SEASON,False,True,Andjusic Danilo,10:34,4,0,1,1,2,1,1,0,2,2,2,0,0,0,0,2,0,4,1
PAR-MAD,32,REGULAR SEASON,False,True,Andjusic Danilo,07:07,5,0,1,0,0,5,6,0,3,3,2,0,1,0,0,0,2,9,2
MAD-PAR,39,PLAYOFFS,False,False,Andjusic Danilo,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-MCO,17,REGULAR SEASON,False,True,Nunnally James,06:13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-3,-7
PAR-ZAL,5,REGULAR SEASON,True,True,Nunnally James,24:59,10,1,2,2,4,2,3,0,1,1,2,1,1,1,0,2,3,11,-1
MIL-PAR,28,REGULAR SEASON,True,True,Nunnally James,30:40,10,1,3,2,4,2,2,0,3,3,0,2,4,1,0,0,1,9,-1
PAR-VIR,4,REGULAR SEASON,True,True,Nunnally James,21:05,20,4,5,4,6,0,0,0,4,4,4,1,1,0,0,2,1,24,23
PAR-IST,14,REGULAR SEASON,True,True,Nunnally James,32:58,18,5,6,2,6,2,2,0,4,4,7,1,2,1,0,2,1,23,10
PAR-MIL,3,REGULAR SEASON,False,True,Nunnally James,18:17,2,1,3,0,1,0,0,0,3,3,2,1,2,0,0,2,2,3,-5
BER-PAR,1,REGULAR SEASON,False,True,Nunnally James,23:33,7,2,3,1,3,0,1,0,2,2,1,1,1,0,0,2,1,5,-19
PAR-BAR,31,REGULAR SEASON,True,True,Nunnally James,14:14,5,1,3,1,2,0,0,0,0,0,1,2,1,0,0,1,1,4,-11
PAR-ULK,25,REGULAR SEASON,False,True,Nunnally James,18:07,2,1,2,0,2,0,0,0,1,1,0,0,1,0,0,1,0,-2,-2
PAR-MAD,37,PLAYOFFS,True,True,Nunnally James,26:45,13,2,6,3,5,0,0,2,4,6,3,1,0,0,1,2,2,16,6
IST-PAR,29,REGULAR SEASON,False,True,Nunnally James,27:14,16,1,3,4,6,2,2,0,4,4,1,0,1,0,0,2,2,16,24
OLY-PAR,7,REGULAR SEASON,True,True,Nunnally James,36:26,14,3,4,2,5,2,3,3,3,6,3,0,4,0,1,4,3,12,-24
MUN-PAR,24,REGULAR SEASON,True,True,Nunnally James,27:52,15,3,3,2,3,3,3,1,2,3,1,0,1,0,0,1,2,18,10
BAS-PAR,2,REGULAR SEASON,True,True,Nunnally James,25:14,13,4,6,0,5,5,6,0,0,0,1,0,2,0,1,1,4,6,-10
PAR-RED,12,REGULAR SEASON,False,True,Nunnally James,07:40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-14
PAR-BER,26,REGULAR SEASON,False,True,Nunnally James,04:08,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,-2,-4
VIR-PAR,27,REGULAR SEASON,True,True,Nunnally James,27:40,18,7,8,1,2,1,2,0,1,1,2,0,1,0,0,1,1,17,16
PAR-MAD,38,PLAYOFFS,True,True,Nunnally James,21:37,2,1,7,0,3,0,0,3,1,4,1,1,2,0,1,1,1,-4,-21
PAR-MUN,16,REGULAR SEASON,True,True,Nunnally James,21:42,5,1,4,1,4,0,0,1,3,4,2,0,1,1,0,3,2,4,2
PAR-PAN,34,REGULAR SEASON,False,True,Nunnally James,17:31,5,1,2,1,3,0,0,1,1,2,1,0,0,0,0,2,0,3,-4
MAD-PAR,36,PLAYOFFS,False,True,Nunnally James,28:36,16,0,1,2,3,10,10,0,3,3,1,2,2,0,0,4,5,19,15
PAR-PAM,11,REGULAR SEASON,True,True,Nunnally James,37:59,15,4,5,2,9,1,1,0,3,3,3,1,2,2,0,1,2,15,6
PAR-ASV,22,REGULAR SEASON,False,True,Nunnally James,21:42,10,2,4,2,4,0,0,0,1,1,0,1,0,0,0,2,0,6,12
PAR-TEL,8,REGULAR SEASON,True,True,Nunnally James,22:23,6,0,3,2,2,0,0,1,0,1,0,0,0,0,1,0,0,3,8
ASV-PAR,13,REGULAR SEASON,False,True,Nunnally James,23:42,11,4,4,0,3,3,5,0,3,3,4,0,2,0,0,1,2,12,-3
RED-PAR,21,REGULAR SEASON,False,True,Nunnally James,13:39,3,0,2,1,1,0,0,1,0,1,1,0,0,0,0,2,0,1,-2
MCO-PAR,33,REGULAR SEASON,False,True,Nunnally James,26:26,12,2,3,1,3,5,5,0,0,0,1,0,1,0,0,1,2,10,10
MAD-PAR,35,PLAYOFFS,False,True,Nunnally James,19:11,2,1,2,0,3,0,0,0,0,0,2,0,0,0,0,3,0,-3,-4
PAM-PAR,20,REGULAR SEASON,False,True,Nunnally James,19:56,5,1,2,1,3,0,0,0,0,0,1,0,0,0,0,3,0,0,-4
TEL-PAR,18,REGULAR SEASON,True,True,Nunnally James,05:40,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-14
PAR-BAS,19,REGULAR SEASON,False,False,Nunnally James,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAD-PAR,10,REGULAR SEASON,True,True,Nunnally James,32:24,15,2,3,3,6,2,2,0,2,2,4,0,1,0,0,3,3,16,3
ZAL-PAR,23,REGULAR SEASON,False,True,Nunnally James,16:50,10,1,1,2,2,2,2,0,0,0,2,2,1,0,0,2,2,13,10
BAR-PAR,9,REGULAR SEASON,True,True,Nunnally James,21:04,10,2,2,1,4,3,3,0,1,1,1,1,1,1,0,2,1,9,-10
PAR-OLY,30,REGULAR SEASON,True,True,Nunnally James,30:00,19,4,5,3,6,2,2,1,3,4,5,2,1,0,0,3,1,23,9
ULK-PAR,15,REGULAR SEASON,True,True,Nunnally James,26:55,5,1,4,1,2,0,0,1,4,5,1,0,1,0,0,1,2,7,0
